greater-accra,"""Universal""",P,2004
greater-accra,"""USAID""",W,1997
greater-accra,"""Victory Presbytarian - Adenta""",P,2007
greater-accra,"""Victory Presbytarian- Kwashiebu""",P,2008
greater-accra,"""Water Research Institute""",W,1993
greater-accra,"""Weija Comm""",C,2007
greater-accra,"""Winner's Chapel""",P,
greater-accra,"""World Miracle church Int.""",P,2008
greater-accra,"""Zain Staff""",W,
northern,"""Banda""",C,2005
northern,"""Bimbilla""",C,2003
northern,"""Chamba Comm""",C,2005
northern,"""Damango Community""",C,1968
northern,"""Diocesan C.U-Damango""",C,2002
northern,"""E. P. Church""",P,2000
northern,"""Kete Community""",C,2003
northern,"""Kpandai""",C,2003
northern,"""Lagbensi Community""",C,2003
northern,"""Ligbensi Parish""",P,2004
northern,"""OLA Chatholic Parish""",P,2003
northern,"""Presby Church""",P,2005
northern,"""Saboba Community""",C,2006
northern,"""Salaga Community""",C,2006
northern,"""Salaga Farmers""",C,1972
northern,"""Sari Workers""",W,1982
northern,"""Tamale Community""",C,2004
northern,"""Tamale Trs.""",W,1994
northern,"""Univ. of Dev. Studies """,W,1994
northern,"""Yendi Diocesan""",C,2004
tema,""" Tema Municipal Teachers """,W,1998
tema,"""Aluworks Staff Workers""",W,1996
tema,"""Ashaiman Central A.O.G.""",P,2005
tema,"""Ashiaman Comm.""",C,1993
tema,"""Ashiaman Dadzikuma""",C,2003
tema,"""Ashiaman Methodist""",P,2005
tema,"""Ashiaman St. Augustine's """,P,2001
tema,"""Bethlehem Community""",C, 
tema,"""Coca Cola Empl""",W, 
tema,"""Com 4 Credit Union""",C,2007
tema,"""Com 5 Credit Union""",C,2007
tema,"""Crocodile Matchet Emp.""",W,1985
tema,"""Dangme East""",C,2006
tema,"""Ferro Fabrik""",W,1987
tema,"""G.H.P.A 1""",W,1979
tema,"""G.H.P.A.2""",W,1972
tema,"""Gh. Co-op. Pharmacist""",C,1985
tema,"""Ghana Textile Printing """,W,1989
tema,"""Great Ningo Community""",C, 
tema,"""Greenwich Presby""",P,2003
tema,"""Irani Brothers""",W,1994
tema,"""Joint Church""",P, 
tema,"""Light Industrial Area""",C,2006
tema,"""Nestle Workers """,W,1975
tema,"""North Tema""",C,1982
tema,"""Prince of Peace""",P,2000
tema,"""Sege Comm""",C,1989
tema,"""T.O.R. Management""",W,1992
tema,"""T.O.R. Staff""",W,1991
tema,"""Tema Area Apostolic""",P,2000
tema,"""Tema Bethel""",P,2003
tema,"""Tema Business""",C,2006
tema,"""Tema Good Sherpered""",P,1998
tema,"""Tema Manucipal Workers""",W,1997
tema,"""Tema Nkabom""",C,2002
tema,"""Tema St Josephs""",P,2000
tema,"""Tema St. Paul's""",P,2004
tema,"""Trinity Presby""",P, 
tema,"""Uniliver Employers""",W,2005
tema,"""United """,C,2004
tema,"""United CU""",P,2007
tema,"""Utitrust Community""",C,2004
upper-east,"""Assemblies of God""",P,2007
upper-east,"""Bawku Community""",C,2004
upper-east,"""Bawku Hospital""",W,1998
upper-east,"""Bawku Teachers """,W,1988
upper-east,"""Bolga OLA""",P, 
upper-east,"""Bolga Sacred Heart""",P,2008
upper-east,"""Bolga Teachers""",W,2005
upper-east,"""Bolga. P & T Emp.""",W,1978
upper-east,"""Bongo Teachers""",W, 
upper-east,"""Gambibgo Community""",C,2005
upper-east,"""Garu/Tempane Teachers""",W,1997
upper-east,"""Geogo Deaf""",W,2009
upper-east,"""Navrongo Teachers """,W,1997
upper-east,"""West Mamprusi Trs""",W,1997
upper-west,"""Bole Catholic Workers""",W,2000
upper-west,"""Daffiama Cmmunity""",C,1991
upper-west,"""Funsi """,C,1989
upper-west,"""Hamile Parish""",P,1975
upper-west,"""Jirapa - St. Joseph""",P,1955
upper-west,"""Ko St. Mary's""",P,1964
upper-west,"""Kuorbe Langtaa""",C,1981
upper-west,"""Sawla Parish""",P,1994
upper-west,"""Tumu Community""",C,1969
upper-west,"""Wa Community""",C,1965
upper-west,"""Wa GES.""",W,1999
upper-west,"""Wa West""",C,2006
volta,"""Adidome Teachers""",W ,1996
volta,"""Akatsi Trs. - Ultimate""",W,2000
volta,"""Gh. Water Co. Ltd.""",W,2000
volta,"""Golden Opportunity""",W,2000
volta,"""Ho IRS""",W,1999
volta,"""Ho Teachers -New Vision""",W ,1995
volta,"""Ho Women""",C,1999
volta,"""Hohoe Community""",C,2000
volta,"""Hohoe Universe""",W,1999
volta,"""Jasikan District Workers""",W,2001
volta,"""Jasikan Teachers -Golden Opportunity""",W ,1998
volta,"""Juapong Trs""",C,2005
volta,"""Kadjebi Dist. Trs'""",W,2001
volta,"""Ketu Teachers """,W ,2000
volta,"""Kpando Dist. Education Workers""",W,2003
volta,"""Morkporkpor""",W,1998
volta,"""Nkwanta District Teachers""",W,2002
volta,"""Progressive Teachers """,W ,1995
volta,"""Sitsofe Community""",C,1993
volta,"""Volta ECG""",W ,1991
western,"""Adiembra Community""",C,2004
western,"""Adom comm""",W,2006
western,"""Anaji Christ the King""",C,1999
western,"""Angu Comm.""",C,1997
western,"""Atobiase Comm""",C,1998
western,"""Axim Road""",C,1999
western,"""Bethel Meth""",C,2005
western,"""Dompim Community """,C,1998
western,"""Ebenezer""",P,2006
western,"""Freeman Meth""",P,2008
western,"""G.P.R.T.U Asawinso""",C,2006
western,"""GESRO""",W ,1993
western,"""GPHA - Tdi""",W ,1979
western,"""GREL""",W,1999
western,"""Jaccu""",C,2005
western,"""Minesco Emp.""",W ,1992
western,"""Norpalm""",W,2009
western,"""Nzima East""",C,2005
western,"""Samatex Workers""",W ,1997
western,"""Sefwiman Comm""",C,1999
western,"""Shama Community""",C,2005
western,"""ST. John of God""",C,2008
western,"""Suhuma Workers""",W,2007
western,"""Takoradi Circuit Woman Fell""",P,2005
western,"""West Coast""",W ,1996
western,"""Western Powers""",W,2004
